h1,z,bugs
3.9684210029809925,0,1
8.39634862191176,0,0
4.476120718211758,0,1
2.53281083293232,0,1
5.582220370082259,1,0
6.058068567086791,1,0
5.869196802878181,1,0
6.767654973332161,1,0
6.037408823067528,1,0
2.435755874165633,0,1
1.1135249969588021,0,1
2.648162851945228,0,1
6.304248780453158,0,0
1.6787060520375956,0,1
1.5427675897135167,0,1
4.713175791336903,1,0
4.212535150471695,0,1
3.1585878360435826,0,1
6.920170382494642,1,0
6.04062021844056,1,0
6.48854639456474,1,0
1.4815287691516235,0,1
6.4799955305667005,1,0
6.4545395164629245,1,0
6.353556422103692,1,0
4.933682904559535,0,1
5.671791962044862,1,0
5.091103898969621,1,0
6.237814909180821,1,0
5.610537236139994,0,0
5.6387326986290525,1,0
2.1857101165161588,0,1
6.418729316490721,0,0
3.4378850837932733,0,1
6.007898070700489,1,0
6.983426938505077,0,0
7.065556786291559,1,0
6.993543395253246,1,0
5.579543159019409,1,0
5.670196644001645,1,0
2.8387266558019566,0,1
6.934841657831826,1,0
0.6663764776103203,0,1
5.678900920775292,0,0
5.16864981457354,1,0
2.753704500748008,0,1
6.802329082077643,0,0
5.263832738000367,0,0
3.534859724393007,1,1
2.5827266733887098,0,1
8.150565798045303,0,0
2.5365554651514297,0,1
1.6476379756046144,0,1
4.925655879258289,1,0
6.496651443941483,1,0
2.6084272273665623,0,1
5.480378887638552,1,0
4.5163860789908306,0,1
6.907341304739282,1,0
4.600662098512251,1,0
5.522467323038532,0,0
6.279736611966477,1,0
5.786751869641285,1,0
6.585471701429748,1,0
5.712755837399914,1,0
6.1334379828139785,1,0
5.962192546136049,1,0
3.3980054827061634,0,1
7.9470714954887,1,0
5.970330468149734,0,0
3.2021700363810264,1,1
2.6281347877574786,0,1
5.288658962896542,0,0
3.5483575216229104,0,1
3.5999338329479307,0,1
6.111059680614848,1,0
8.410658256924744,1,0
5.384048410456462,1,0
1.603402959129301,0,1
6.534043028343225,1,0
4.947737756010552,1,0
5.459891518481568,1,0
5.2260735126717845,1,0
2.1135662948519998,0,1
5.992770655634982,0,0
3.0991457016481245,0,1
7.903632666092149,1,0
5.233835658014925,0,0
5.111958265995547,1,0
2.503041199106625,0,1
3.3299612399981147,0,1
3.81703942514278,0,1
6.302551135034914,0,0
5.702287617666416,1,0
1.3976643802247446,1,1
4.092478657348653,0,1
6.002880341922465,0,0
6.183586511104622,1,0
4.604998605738827,1,0
3.305884541072082,0,1
6.61519332859696,0,0
5.616866525510929,1,0
4.1559010721351575,1,1
2.426707197618222,0,1
8.174846117302879,0,0
6.202063322671957,0,0
5.475017955512038,1,0
4.066079776728195,0,1
6.138560757382327,1,0
6.008816787424156,0,1
5.5406108349534655,1,0
4.041897502266808,0,1
6.681397660764759,1,0
5.282790278323106,0,0
3.07053074836652,1,1
3.981366096396367,0,1
3.0592671571563623,0,1
3.0177066632971816,0,1
6.364700264208609,0,0
1.865678961752355,0,1
5.808957072901002,1,0
3.2618254056445797,0,1
2.8209469043280833,0,1
3.5779129577300832,0,1
5.566448661231471,0,0
6.0661940933236105,1,0
7.158520523913495,1,0
2.5326790410052413,0,1
7.477657536779157,0,0
3.3606817378763143,0,0
6.974805329168285,0,0
6.092978115559571,1,0
6.108981335199409,1,0
4.757106336984322,1,0
6.29938350724795,1,0
6.093173434841429,1,0
1.3059272796787589,1,1
4.779283356381388,0,0
7.2054856279329105,1,0
6.0219361878482545,0,0
5.649149497008041,1,0
4.020162907861925,1,0
6.048466314305483,0,0
5.360796597624184,0,0
1.8708864743343396,0,1
5.5743424821416685,1,0
4.7464700288964385,0,0
1.0912787012486505,1,1
3.059311027370447,0,1
5.555824629384254,1,0
3.4591304760128527,1,0
4.684926268231399,1,0
4.923919522085218,0,0
3.1176608940985933,1,1
2.582579665215183,0,1
2.450401019865447,0,1
6.263900926397808,0,0
5.1597982339200374,0,0
5.979630481109607,1,0
2.1574255433358442,0,1
6.258028035033465,0,0
2.9383649423925764,0,1
3.145055181275027,1,1
4.13228469251829,0,1
5.563110718829843,1,0
6.290622192028373,0,0
5.5560966190882715,1,0
6.328835079438843,1,0
5.277600799986365,1,0
5.346514270226125,1,0
0.9555737182098643,0,1
6.235878026449659,1,0
6.098201809551361,1,0
2.755804935600462,0,1
3.8794489478791045,0,1
1.4210925292263414,0,1
5.442838516246843,0,0
2.750608027452118,0,1
2.355841919658144,0,1
4.095326224617336,1,0
1.579471249195333,0,1
5.9495574465229915,1,0
6.493851179354082,1,0
6.344779335642073,1,0
5.181306988583183,1,0
6.784006256854396,1,0
6.637975213169976,0,0
5.832778440002878,0,1
3.3445229016599254,0,1
3.6553357350965845,0,1
1.3201952981976484,0,1
7.341867634605497,1,0
2.8293515670861775,0,1
4.903194012505098,1,0
