age,education,black,hispanic,married,nodegree,re74,re75,re78,u74,u75,treat,id
28,15,1,0,0,0,0,0,9598.54,1,1,1,75
25,11,0,0,0,1,0,0,18783.4,1,1,1,76
22,12,1,0,0,0,0,0,18678.1,1,1,1,77
21,9,1,0,0,1,0,0,0,1,1,1,78
40,11,1,0,0,1,0,0,23005.6,1,1,1,79
22,11,1,0,0,1,0,0,6456.7,1,1,1,80
25,12,1,0,0,0,0,0,0,1,1,1,81
18,12,1,0,0,0,0,0,2321.11,1,1,1,82
38,12,0,0,0,0,0,0,4941.85,1,1,1,83
27,13,1,0,0,0,0,0,0,1,1,1,84
27,8,1,0,0,1,0,0,0,1,1,1,85
38,11,1,0,0,1,0,0,0,1,1,1,86
23,8,0,1,0,1,0,0,3881.28,1,1,1,87
26,11,1,0,0,1,0,0,17231,1,1,1,88
21,12,0,0,0,0,0,0,8048.6,1,1,1,89
25,8,1,0,0,1,0,0,0,1,1,1,90
31,11,1,0,1,1,0,0,14509.9,1,1,1,91
17,10,1,0,0,1,0,0,0,1,1,1,92
25,11,1,0,0,1,0,0,0,1,1,1,93
21,12,1,0,0,0,0,0,9983.78,1,1,1,94
44,11,1,0,0,1,0,0,0,1,1,1,95
25,12,0,0,0,0,0,0,5587.5,1,1,1,96
18,9,1,0,0,1,0,0,4482.85,1,1,1,97
42,12,1,0,0,0,0,0,2456.15,1,1,1,98
25,10,1,0,0,1,0,0,0,1,1,1,99
31,9,0,1,0,1,0,0,26817.6,1,1,1,100
24,10,1,0,0,1,0,0,0,1,1,1,101
26,10,1,0,0,1,0,0,9265.79,1,1,1,102
25,11,1,0,0,1,0,0,485.23,1,1,1,103
18,11,1,0,0,1,0,0,4814.63,1,1,1,104
19,11,1,0,0,1,0,0,7458.11,1,1,1,105
43,9,1,0,0,1,0,0,0,1,1,1,106
27,13,1,0,0,0,0,0,34099.3,1,1,1,107
17,9,1,0,0,1,0,0,1953.27,1,1,1,108
30,11,1,0,0,1,0,0,0,1,1,1,109
26,10,1,0,1,1,2028,0,0,0,1,1,110
20,9,1,0,0,1,6083.99,0,8881.67,0,1,1,111
17,9,0,1,0,1,445.17,74.3435,6210.67,0,0,1,112
20,12,1,0,0,0,989.268,165.208,0,0,0,1,113
18,11,1,0,0,1,858.254,214.564,929.884,0,0,1,114
27,12,1,0,1,0,3670.87,334.049,0,0,0,1,115
21,12,0,0,0,0,3670.87,334.049,12558,0,0,1,116
27,12,1,0,0,0,2143.41,357.95,22163.3,0,0,1,117
20,12,1,0,0,0,0,377.569,1652.64,1,0,1,118
19,10,1,0,0,1,0,385.274,8124.72,1,0,1,119
23,12,1,0,0,0,5506.31,501.074,671.332,0,0,1,120
29,14,1,0,0,0,0,679.673,17815,1,0,1,121
18,10,1,0,0,1,0,798.908,9737.15,1,0,1,122
19,9,1,0,0,1,0,798.908,17685.2,1,0,1,123
27,13,0,0,1,0,9381.57,853.723,0,0,0,1,124
18,11,0,0,0,1,3678.23,919.558,4321.71,0,0,1,125
27,9,1,0,1,1,0,934.445,1773.42,1,0,1,126
22,12,1,0,0,0,5605.85,936.177,0,0,0,1,127
23,10,1,0,1,1,0,936.439,11233.3,1,0,1,128
23,12,0,1,0,0,9385.74,1117.44,559.443,0,0,1,129
20,11,1,0,0,1,3637.5,1220.84,1085.44,0,0,1,130
17,9,1,0,0,1,1716.51,1253.44,5445.2,0,0,1,131
28,11,1,0,0,1,0,1284.08,60307.9,1,0,1,132
26,11,1,0,1,1,0,1392.85,1460.36,1,0,1,133
20,11,1,0,0,1,16318.6,1484.99,6943.34,0,0,1,134
24,11,1,0,1,1,824.389,1666.11,4032.71,0,0,1,135
31,9,1,0,0,1,0,1698.61,10363.3,1,0,1,136
23,8,0,0,1,1,0,1713.15,4232.31,1,0,1,137
18,10,1,0,0,1,2143.41,1784.27,11141.4,0,0,1,138
29,12,1,0,0,0,10881.9,1817.28,0,0,0,1,139
26,11,0,0,0,1,0,2226.27,13385.9,1,0,1,140
24,9,1,0,0,1,9154.7,2288.68,4849.56,0,0,1,141
25,12,1,0,0,0,14426.8,2409.27,0,0,0,1,142
24,10,1,0,0,1,4250.4,2421.95,1660.51,0,0,1,143
46,8,1,0,0,1,3165.66,2594.72,0,0,0,1,144
31,12,0,0,0,0,0,2611.22,2484.55,1,0,1,145
19,11,1,0,0,1,2305.03,2615.28,4146.6,0,0,1,146
19,8,1,0,0,1,0,2657.06,9970.68,1,0,1,147
27,11,1,0,0,1,2206.94,2666.27,0,0,0,1,148
26,11,1,0,1,1,0,2754.65,26372.3,1,0,1,149
20,10,1,0,0,1,5005.73,2777.36,5615.19,0,0,1,150
28,10,1,0,0,1,0,2836.51,3196.57,1,0,1,151
24,12,1,0,0,0,13765.8,2842.76,6167.68,0,0,1,152
19,8,1,0,0,1,2636.35,2937.26,7535.94,0,0,1,153
23,12,1,0,0,0,6269.34,3039.96,8484.24,0,0,1,154
42,9,1,0,1,1,0,3058.53,1294.41,1,0,1,155
25,13,1,0,0,0,12362.9,3090.73,0,0,0,1,156
18,9,1,0,0,1,0,3287.38,5010.34,1,0,1,157
21,12,1,0,0,0,6473.68,3332.41,9371.04,0,0,1,158
27,10,1,0,0,1,1001.15,3550.08,0,0,0,1,159
21,8,1,0,0,1,989.268,3695.9,4279.61,0,0,1,160
22,9,1,0,0,1,2192.88,3836.99,3462.56,0,0,1,161
31,4,1,0,0,1,8517.59,4023.21,7382.55,0,0,1,162
24,10,1,0,1,1,11703.2,4078.15,0,0,0,1,163
29,10,1,0,0,1,0,4398.95,0,1,0,1,164
29,12,1,0,0,0,9748.39,4878.94,10976.5,0,0,1,165
19,10,0,0,0,1,0,5324.11,13829.6,1,0,1,166
19,11,0,1,1,1,5424.49,5463.8,6788.46,0,0,1,167
31,9,1,0,0,1,10717,5517.84,9558.5,0,0,1,168
22,10,1,0,1,1,1468.35,5588.66,13228.3,0,0,1,169
21,9,1,0,0,1,6416.47,5749.33,743.667,0,0,1,170
17,10,1,0,0,1,1291.47,5793.85,5522.79,0,0,1,171
26,12,1,0,1,0,8408.76,5794.83,1424.94,0,0,1,172
20,9,0,1,0,1,12260.8,5875.05,1358.64,0,0,1,173
19,10,1,0,0,1,4121.95,6056.75,0,0,0,1,174
26,10,1,0,0,1,25929.7,6788.96,672.877,0,0,1,175
28,11,1,0,0,1,1929.03,6871.86,0,0,0,1,176
22,12,0,1,1,0,492.231,7055.7,10092.8,0,0,1,177
33,11,1,0,0,1,0,7867.92,6281.43,1,0,1,178
22,12,0,0,0,0,6759.99,8455.5,12590.7,0,0,1,179
29,10,0,1,0,1,0,8853.67,5112.01,1,0,1,180
33,12,1,0,1,0,20280,10941.4,15952.6,0,0,1,181
25,14,1,0,1,0,35040.1,11536.6,36647,0,0,1,182
35,9,1,0,1,1,13602.4,13830.6,12804,0,0,1,183
35,8,1,0,1,1,13732.1,17976.2,3786.63,0,0,1,184
33,11,1,0,1,1,14660.7,25142.2,4181.94,0,0,1,185
47,12,0,0,0,0,0,0,0,1,1,0,11000
50,12,1,0,1,0,0,0,0,1,1,0,2491
44,12,0,0,0,0,0,0,0,1,1,0,3100
28,12,1,0,1,0,0,0,0,1,1,0,4100
54,12,0,0,1,0,0,0,0,1,1,0,5100
55,12,0,1,1,0,0,0,0,1,1,0,6100
47,12,0,0,1,0,0,0,0,1,1,0,7100
25,12,1,0,0,0,0,0,0,1,1,0,8100
44,12,0,0,1,0,0,0,0,1,1,0,9100
50,12,1,0,1,0,0,0,0,1,1,0,10100
23,12,1,0,0,0,0,0,4728.72509765625,1,1,0,11100
49,14,0,0,1,0,0,0,0,1,1,0,12100
55,14,0,0,1,0,0,0,0,1,1,0,13100
34,14,1,0,1,0,0,0,0,1,1,0,14100
34,16,0,0,1,0,0,0,11821.8134765625,1,1,0,15100
55,13,0,1,1,0,0,0,0,1,1,0,16100
52,12,0,0,1,0,0,0,0,1,1,0,17100
52,15,0,0,1,0,0,0,0,1,1,0,18100
30,16,0,0,1,0,0,0,0,1,1,0,19100
21,12,0,0,0,0,0,0,0,1,1,0,20100
30,17,0,0,0,0,0,0,0,1,1,0,21100
44,12,0,0,1,0,0,0,0,1,1,0,22100
46,12,0,0,0,0,0,0,0,1,1,0,23100
53,17,0,0,1,0,0,0,0,1,1,0,2492
26,16,0,0,0,0,0,0,9014.1318359375,1,1,0,2510
49,12,0,0,1,0,0,0,13299.5390625,1,1,0,2610
39,15,0,0,1,0,0,0,1921.0445556640625,1,1,0,2710
26,17,0,0,1,0,0,0,11821.8134765625,1,1,0,2810
32,16,0,0,1,0,0,0,0,1,1,0,2910
34,12,0,0,1,0,0,0,0,1,1,0,3010
31,14,0,0,1,0,0,0,0,1,1,0,3110
39,17,0,1,1,0,0,0,8866.359375,1,1,0,3210
40,17,0,0,1,0,0,0,0,1,1,0,3310
31,12,0,0,1,0,0,0,0,1,1,0,3410
27,13,0,0,1,0,0,0,28076.8046875,1,1,0,3510
48,12,0,0,1,0,0,0,0,1,1,0,3610
41,13,0,0,1,0,0,0,0,1,1,0,3710
26,14,0,0,0,0,0,0,0,1,1,0,3810
50,17,0,0,0,0,0,0,0,1,1,0,3910
48,12,0,0,1,0,0,0,12930.1083984375,1,1,0,4010
45,16,0,0,1,0,0,0,0,1,1,0,4110
37,13,0,0,1,0,0,0,0,1,1,0,4210
33,12,0,0,1,0,0,0,0,1,1,0,4310
31,12,0,0,1,0,0,0,0,1,1,0,4410
36,12,1,0,1,0,0,0,17732.71875,1,1,0,4510
44,13,0,0,1,0,0,0,0,1,1,0,4610
28,17,0,0,1,0,0,0,0,1,1,0,4710
30,17,0,0,1,0,0,0,0,1,1,0,4810
42,16,0,0,1,0,0,0,0,1,1,0,4910
30,12,0,0,1,0,0,0,0,1,1,0,5010
27,16,0,0,1,0,0,0,0,1,1,0,5110
37,12,0,0,1,0,0,0,0,1,1,0,5210
37,12,0,0,1,0,0,0,0,1,1,0,5310
45,12,0,0,1,0,0,0,22165.8984375,1,1,0,5410
35,16,0,0,1,0,0,0,0,1,1,0,5510
37,17,0,0,1,0,0,0,66497.6953125,1,1,0,5610
27,17,0,0,1,0,0,0,0,1,1,0,5710
47,14,0,0,1,0,0,0,0,1,1,0,5810
48,12,0,0,1,0,0,0,0,1,1,0,5910
42,12,0,0,1,0,0,0,0,1,1,0,6010
43,12,0,0,1,0,0,0,0,1,1,0,6110
46,12,0,0,1,0,0,0,0,1,1,0,6210
46,12,0,0,1,0,0,0,0,1,1,0,6310
46,12,0,0,1,0,0,0,0,1,1,0,6410
29,16,0,0,1,0,0,0,8396.4423828125,1,1,0,6510
39,13,0,0,1,0,0,0,0,1,1,0,6610
32,12,0,0,1,0,0,0,0,1,1,0,6710
48,16,0,0,1,0,0,0,0,1,1,0,6810
48,16,0,0,1,0,0,0,0,1,1,0,6910
41,13,0,0,1,0,0,0,0,1,1,0,7010
42,13,0,0,1,0,0,0,0,1,1,0,7110
42,13,0,0,1,0,0,0,0,1,1,0,7210
42,13,0,0,1,0,0,0,0,1,1,0,7310
54,13,0,0,1,0,0,0,0,1,1,0,7410
29,14,0,0,1,0,0,0,0,1,1,0,7510
54,12,0,0,1,0,0,0,0,1,1,0,7610
54,12,0,0,1,0,0,0,0,1,1,0,7710
26,14,0,0,1,0,0,0,0,1,1,0,7810
43,17,0,0,1,0,0,0,36943.1640625,1,1,0,7910
54,12,0,0,1,0,0,0,0,1,1,0,8010
37,12,0,0,1,0,0,0,0,1,1,0,8110
54,16,0,0,1,0,0,0,0,1,1,0,8210
48,17,0,0,1,0,0,0,0,1,1,0,8310
44,12,0,0,1,0,0,0,0,1,1,0,8410
54,12,0,0,1,0,0,0,0,1,1,0,8510
38,12,0,0,1,0,0,0,0,1,1,0,8610
37,13,0,0,1,0,0,0,0,1,1,0,8710
27,17,0,0,1,0,0,0,0,1,1,0,8810
51,12,0,0,1,0,0,0,0,1,1,0,8910
39,12,0,0,1,0,0,0,0,1,1,0,9010
55,14,0,0,1,0,0,0,0,1,1,0,9110
54,13,0,0,1,0,0,0,0,1,1,0,9210
54,13,0,0,1,0,0,0,0,1,1,0,9310
34,12,0,0,1,0,0,0,0,1,1,0,9410
50,14,0,0,1,0,0,0,0,1,1,0,9510
50,12,0,0,1,0,0,0,0,1,1,0,9610
21,14,0,1,0,0,0,71.61289978027344,3657.373291015625,1,0,0,9710
26,12,0,0,1,0,0,71.61289978027344,0,1,0,0,9810
21,13,0,0,0,0,0,692.8548583984375,2659.90771484375,1,0,0,9910
23,16,0,0,1,0,0,1521.774169921875,0,1,0,0,10010
21,15,0,0,0,0,0,3222.58056640625,14777.265625,1,0,0,10110
23,14,0,0,0,0,0,3401.61279296875,5319.81591796875,1,0,0,10210
27,16,0,0,1,0,0,4833.87109375,0,1,0,0,10310
25,12,0,0,1,0,0,5729.0322265625,26599.078125,1,0,0,10410
27,17,0,0,0,0,0,6087.0966796875,7388.6328125,1,0,0,10510
55,12,0,0,1,0,0,6266.12890625,10344.0859375,1,0,0,10610
20,12,0,0,1,0,0,7161.29052734375,0,1,0,0,10710
18,12,0,0,1,0,0,8056.45166015625,19210.4453125,1,0,0,10810
27,12,0,0,1,0,0,8235.484375,20688.171875,1,0,0,10910
28,16,0,0,1,0,0,8951.61328125,36943.1640625,1,0,0,11010
36,12,1,0,1,0,0,8951.61328125,11821.8134765625,1,0,0,11110
33,13,1,0,1,0,0,10741.9345703125,20688.171875,1,0,0,11210
36,12,0,0,1,0,0,10741.9345703125,0,1,0,0,11310
27,13,0,0,1,0,0,16112.9033203125,29554.53125,1,0,0,11410
45,17,0,0,1,0,0,16112.9033203125,17732.71875,1,0,0,11510
45,17,0,0,1,0,0,16112.9033203125,17732.71875,1,0,0,11610
45,17,0,0,1,0,0,16112.9033203125,17732.71875,1,0,0,11710
31,12,0,0,1,0,0,17903.2265625,0,1,0,0,11810
34,12,0,0,1,0,0,17903.2265625,63542.2421875,1,0,0,11910
34,12,0,0,1,0,0,17903.2265625,63542.2421875,1,0,0,12010
47,14,0,0,1,0,0,17903.2265625,22165.8984375,1,0,0,12110
35,16,0,0,1,0,0,19693.548828125,17732.71875,1,0,0,12210
43,17,0,0,1,0,0,21161.61328125,29554.53125,1,0,0,12310
25,12,1,0,1,0,0,21483.87109375,1220.6021728515625,1,0,0,12410
29,15,0,0,0,0,0,21483.87109375,22313.671875,1,0,0,12510
31,12,0,0,1,0,0,21483.87109375,20688.171875,1,0,0,12610
52,12,0,0,1,0,0,21483.87109375,22165.8984375,1,0,0,12710
22,16,0,0,0,0,0,22558.064453125,32509.984375,1,0,0,12810
53,15,0,0,1,0,0,24169.35546875,28076.8046875,1,0,0,12910
29,17,0,0,1,0,0,25959.677734375,36898.83203125,1,0,0,13010
31,13,0,0,1,0,0,25959.677734375,39898.6171875,1,0,0,13110
35,12,0,0,1,0,0,26138.7109375,29554.53125,1,0,0,13210
29,16,0,0,1,0,0,26854.83984375,23643.625,1,0,0,13310
39,12,0,0,1,0,0,28645.16015625,31032.2578125,1,0,0,13410
37,14,0,0,1,0,0,32225.806640625,0,1,0,0,13510
30,14,0,0,1,0,0,32225.806640625,22165.8984375,1,0,0,13610
43,17,0,0,1,0,0,42251.61328125,41376.34375,1,0,0,13710
32,17,0,0,1,0,0,46548.38671875,39898.6171875,1,0,0,13810
44,12,0,0,1,0,0,71612.90625,81274.9609375,1,0,0,13910
32,16,0,0,1,0,577.98370361328125,6910.64501953125,18609.01171875,0,0,0,14010
43,12,1,0,1,0,715.13238525390625,1879.8387451171875,5910.90625,0,0,0,14110
24,12,1,0,0,0,783.70672607421875,0,10344.0859375,0,1,0,14210
22,13,0,0,0,0,783.70672607421875,0,2305.25341796875,0,1,0,14310
35,15,0,0,1,0,979.6334228515625,537.09674072265625,0,0,0,0,14410
26,15,0,0,0,0,979.6334228515625,1879.8387451171875,3250.99853515625,0,0,0,14510
29,17,0,0,1,0,979.6334228515625,8951.61328125,0,0,0,0,14610
23,12,1,0,0,0,1077.5966796875,3222.58056640625,5910.90625,0,0,0,14710
19,12,0,0,1,0,1154.008056640625,8593.548828125,26599.078125,0,0,0,14810
48,16,0,0,1,0,1240.2159423828125,1466.274169921875,1152.626708984375,0,0,0,14910
48,16,0,0,1,0,1240.2159423828125,1466.274169921875,1152.626708984375,0,0,0,15010
22,12,1,0,1,0,1269.6048583984375,0,0,0,1,0,15110
20,12,1,0,0,0,1367.5682373046875,12532.2578125,2955.453125,0,0,0,15210
24,17,0,0,1,0,1371.48681640625,0,24825.806640625,0,1,0,15310
27,16,0,0,1,0,1469.4500732421875,1253.225830078125,4363.7265625,0,0,0,15410
21,14,0,0,0,0,1506.6761474609375,2685.48388671875,11082.94921875,0,0,0,15510
53,13,0,0,1,0,1567.4134521484375,3938.709716796875,4728.72509765625,0,0,0,15610
53,13,0,0,1,0,1567.4134521484375,3938.709716796875,4728.72509765625,0,0,0,15710
53,16,0,0,1,0,1665.3768310546875,0,2955.453125,0,1,0,15810
22,15,0,0,1,0,1763.340087890625,5370.9677734375,22165.8984375,0,0,0,15910
21,15,0,0,0,0,1763.340087890625,9667.7421875,4137.63427734375,0,0,0,16010
30,12,0,0,1,0,1959.266845703125,1790.3226318359375,1477.7265625,0,0,0,16110
21,12,1,0,0,0,1959.266845703125,5460.48388671875,1152.626708984375,0,0,0,16210
27,16,0,0,1,0,1959.266845703125,17545.16015625,21427.03515625,0,0,0,16310
22,15,0,0,0,0,1967.1038818359375,2864.51611328125,5024.2705078125,0,0,0,16410
22,12,1,0,1,0,2006.2891845703125,2470.645263671875,0,0,0,0,16510
23,13,0,0,1,0,2155.193603515625,5370.9677734375,11378.4951171875,0,0,0,16610
33,12,0,0,1,0,2351.1201171875,0,2770.7373046875,0,1,0,16710
24,13,0,0,0,0,2351.1201171875,3127.693603515625,14777.265625,0,0,0,16810
20,12,1,0,0,0,2351.1201171875,4475.806640625,17732.71875,0,0,0,16910
22,16,0,0,0,0,2351.1201171875,23274.193359375,25860.21484375,0,0,0,17010
19,12,0,0,1,0,2547.046875,10741.9345703125,0,0,0,0,17110
22,15,0,0,1,0,2547.046875,17187.09765625,25860.21484375,0,0,0,17210
43,14,0,0,1,0,2645.01025390625,0,6992.60205078125,0,1,0,17310
39,12,0,0,1,0,2742.973388671875,7161.29052734375,11821.8134765625,0,0,0,17410
28,12,1,0,0,0,2938.900146484375,2864.51611328125,0,0,0,0,17510
19,14,0,0,0,0,2938.900146484375,3222.58056640625,0,0,0,0,17610
26,17,0,0,1,0,2938.900146484375,12532.2578125,23643.625,0,0,0,17710
18,12,0,0,1,0,3134.826904296875,11100,20688.171875,0,0,0,17810
23,15,0,0,1,0,3320.957275390625,2506.45166015625,9974.654296875,0,0,0,17910
24,12,1,0,0,0,3330.753662109375,4654.8388671875,11821.8134765625,0,0,0,18010
27,12,0,0,1,0,3526.68017578125,0,5910.90625,0,1,0,18110
29,17,0,0,1,0,3526.68017578125,15217.7421875,24382.48828125,0,0,0,18210
22,12,1,0,0,0,3579.580322265625,17133.38671875,11821.8134765625,0,0,0,18310
27,12,0,0,1,0,3722.60693359375,254.22581481933594,1090.562255859375,0,0,0,18410
27,15,0,0,1,0,3722.60693359375,4654.8388671875,19210.4453125,0,0,0,18510
20,12,1,0,0,0,3730.444091796875,8951.61328125,13299.5390625,0,0,0,186
27,12,1,0,1,0,3918.53369140625,1994.41943359375,17732.71875,0,0,0,187
23,12,1,0,1,0,3918.53369140625,2864.51611328125,8866.359375,0,0,0,188
23,12,1,0,1,0,3918.53369140625,11637.0966796875,9752.9951171875,0,0,0,189
22,12,0,0,1,0,3918.53369140625,15396.7744140625,39898.6171875,0,0,0,190
31,12,1,0,1,0,3918.53369140625,18440.322265625,24973.578125,0,0,0,191
26,17,0,0,0,0,4173.23828125,11637.0966796875,9457.4501953125,0,0,0,192
20,12,0,0,1,0,4310.38720703125,0,4433.1796875,0,1,0,193
30,17,0,0,1,0,4310.38720703125,4296.7744140625,22476.220703125,0,0,0,194
42,16,0,0,0,0,4398.55419921875,17903.2265625,16254.9921875,0,0,0,195
21,14,0,0,1,0,4506.3134765625,9309.677734375,23052.53515625,0,0,0,196
25,16,0,0,1,0,4604.27685546875,2954.0322265625,0,0,0,0,197
27,15,0,0,1,0,4702.240234375,0,0,0,1,0,198
26,17,0,0,1,0,4702.240234375,19693.548828125,26599.078125,0,0,0,199
29,16,0,0,1,0,4800.20361328125,17187.09765625,23643.625,0,0,0,200
20,12,0,0,0,0,4811.95947265625,716.1290283203125,0,0,0,0,201
52,12,0,0,1,0,4898.1669921875,0,0,0,1,0,202
23,17,0,0,0,0,4898.1669921875,2148.38720703125,33987.7109375,0,0,0,203
21,14,0,0,1,0,4898.1669921875,7161.29052734375,17141.62890625,0,0,0,204
24,16,0,0,0,0,4898.1669921875,8951.61328125,17732.71875,0,0,0,205
30,17,0,0,1,0,4898.1669921875,12084.6767578125,5172.04296875,0,0,0,206
25,17,0,0,0,0,4996.13037109375,17414.46875,5030.18115234375,0,0,0,207
21,12,0,0,1,0,5094.09375,6803.2255859375,7388.6328125,0,0,0,208
28,12,0,0,1,0,5094.09375,10741.9345703125,9014.1318359375,0,0,0,209
20,12,0,0,1,0,5182.2607421875,6266.12890625,15244.2265625,0,0,0,210
36,16,0,0,0,0,5290.0205078125,4833.87109375,5319.81591796875,0,0,0,211
19,12,1,0,0,0,5387.98388671875,8056.45166015625,12117.3583984375,0,0,0,212
21,12,1,0,1,0,5868.00390625,3043.54833984375,10048.541015625,0,0,0,213
47,12,0,0,1,0,5868.00390625,9513.7744140625,5319.81591796875,0,0,0,214
24,16,0,0,1,0,5877.80029296875,4833.87109375,33987.7109375,0,0,0,215
24,12,1,0,1,0,5877.80029296875,8951.61328125,17732.71875,0,0,0,216
25,17,0,0,1,0,5877.80029296875,10562.9033203125,30101.2890625,0,0,0,217
21,16,0,0,1,0,5877.80029296875,10562.9033203125,16993.85546875,0,0,0,218
31,12,1,0,1,0,5877.80029296875,11064.1943359375,15959.447265625,0,0,0,219
26,14,0,0,1,0,5877.80029296875,13427.4189453125,31032.2578125,0,0,0,220
22,12,1,0,0,0,5891.51513671875,10367.7578125,5763.1337890625,0,0,0,221
20,13,1,0,0,0,5897.39306640625,12532.2578125,14777.265625,0,0,0,222
20,13,0,1,1,0,6073.72705078125,10025.8056640625,27337.94140625,0,0,0,223
27,14,0,0,1,0,6269.65380859375,0,26007.98828125,0,1,0,224
26,12,0,0,0,0,6269.65380859375,11637.0966796875,10344.0859375,0,0,0,225
23,17,0,0,1,0,6367.6171875,5370.9677734375,0,0,0,0,226
23,12,1,0,0,0,6494.96923828125,12532.2578125,14186.1748046875,0,0,0,227
22,12,1,0,0,0,6583.13671875,4475.806640625,0,0,0,0,228
21,12,1,0,0,0,6661.50732421875,11458.0654296875,11208.5556640625,0,0,0,229
21,12,0,0,1,0,6661.50732421875,12532.2578125,25121.3515625,0,0,0,230
28,14,0,0,1,0,6739.8779296875,7877.41943359375,13742.857421875,0,0,0,231
27,12,1,0,1,0,6855.474609375,0,8275.2685546875,0,1,0,232
25,14,0,0,0,0,6857.43359375,1790.3226318359375,0,0,0,0,233
30,12,0,0,1,0,6857.43359375,3222.58056640625,3250.99853515625,0,0,0,234
27,13,1,0,1,0,6857.43359375,4096.25830078125,24514.005859375,0,0,0,235
22,13,0,0,0,0,6857.43359375,6266.12890625,17363.287109375,0,0,0,236
23,16,0,0,1,0,6857.43359375,14143.5478515625,22165.8984375,0,0,0,237
24,12,1,0,1,0,6857.43359375,14322.5810546875,26599.078125,0,0,0,238
