q_250,q_10,q_90,q_975,x_mean,index
-401.63039112954453,-374.80579752121184,-279.27279401340974,-254.95871560470252,-327.56261613969616,11
-384.92887775483655,-360.3638626245075,-266.81567267466943,-241.80372135729093,-313.3035099686221,9
-531.3882412884742,-515.7895735497525,-459.77596692893945,-440.65370830455174,-487.82157542083667,73
-388.3932362080805,-364.6362172008412,-271.604038589801,-242.50894127959927,-319.98655993006406,100
-524.7930952507617,-505.44257336618927,-441.52101905799856,-419.9292294575145,-475.13322880246847,36
-436.7851617235225,-410.78663013810274,-314.23548570073774,-290.4884164657812,-361.6773328241136,89
-527.0698449006782,-512.8503333635251,-465.4784745696859,-451.7151839797601,-489.18016705194765,57
-533.1162391839307,-517.9298213602688,-467.49720801260617,-454.2456875295854,-492.1813640309184,65
-516.5998534469608,-500.8025314707785,-439.9949599562776,-419.71544788539796,-472.0572020888758,33
-519.5983235168887,-500.22207473867047,-414.09379114211094,-390.6164966258591,-457.50596258362935,77
-514.6510892211302,-498.73117806500335,-436.2330159808463,-414.75491831053637,-468.89207520181077,27
-470.7576161912862,-446.9203471410304,-343.09471504001266,-316.3631808086341,-394.62773236616414,18
-522.7114106736651,-509.5931371901736,-463.6436867677041,-450.110476586044,-486.7434529112817,52
-510.60777529215545,-494.61826348908073,-421.10685107109066,-396.8399368529119,-460.1896397953534,24
-511.87814626317,-498.26481776921725,-440.8783303954655,-423.51173078952496,-471.26548876546275,30
-530.5022733956724,-514.3006303785102,-466.04508616209085,-451.71591095873936,-490.18802343764867,59
-530.5022733956724,-514.3006303785102,-466.04508616209085,-451.71591095873936,-490.18802343764867,61
-353.2228101542669,-325.53462799426495,-221.2609959527672,-188.89816310927574,-274.4038295781558,2
-360.42724600025383,-338.87130754115265,-251.66645750793202,-227.57455965326858,-295.05062372238547,7
-511.8781462631682,-498.2648177692201,-440.87833039546393,-423.51173078952587,-471.26548876546264,32
-518.0870669688453,-497.2941921208502,-410.8110317868944,-387.9476411571032,-454.33448164435384,78
-436.7851617235225,-410.78663013810274,-314.23548570073774,-290.4884164657812,-361.6773328241136,88
-532.2896484101727,-516.6855095806482,-462.24402799442504,-443.578564387628,-489.1332847281051,70
-404.46460076800844,-382.8636315381156,-301.0572662759044,-278.9654511971724,-341.83137172219904,92
-526.2125887071132,-510.5012040257976,-462.245227591855,-447.400062115253,-486.7097297708283,44
-532.289648410172,-516.6855095806476,-462.2440279944255,-443.578564387628,-489.1332847281044,71
-428.72353253998386,-399.9741880969411,-298.2720673092089,-270.40064244057766,-349.3080491231532,13
-525.5836300112506,-510.65932830363084,-446.1709761688563,-420.1029270025496,-479.9005505424991,56
-533.1320154796797,-512.7198869327929,-443.7785872603872,-424.01566101380877,-479.05816544593716,41
-394.1048417492805,-375.3759205338325,-293.9169943165025,-273.2080906043722,-334.44886896921275,95
-527.0698449006737,-512.8503333635216,-465.4784745696872,-451.71518397975916,-489.18016705194697,58
-407.4525859045499,-385.73368493387125,-302.508481546846,-280.40823604852324,-343.9220383534906,91
-406.65735747159584,-383.80666904685427,-300.33354131852,-277.8801313204651,-341.78053875925127,93
-360.4272460002539,-338.87130754115265,-251.66645750793387,-227.57455965326858,-295.05062372238564,8
-531.7938132149311,-514.9746288247637,-447.6018706294515,-422.89275102705886,-482.2880233376426,74
-534.2863921400539,-518.0428294894654,-465.2211679701829,-450.39489629668446,-491.1330137304282,68
-394.1048417492806,-375.3759205338326,-293.91699431650056,-273.2080906043723,-334.44886896921236,96
-497.95195730809843,-475.6762334217532,-394.7273188249539,-372.36325276752177,-435.0016041546326,81
-351.7491636717297,-326.22766371416765,-225.94616370597095,-195.98610576235035,-276.85017473657206,3
-537.2299945765959,-519.6817159198029,-466.32733676092494,-451.52256306853894,-492.44788672901194,66
-522.711410673666,-509.59313719017183,-463.64368676770425,-450.110476586044,-486.7434529112825,51
-537.2299945765959,-519.6817159198029,-466.32733676092494,-451.52256306853894,-492.44788672901194,67
-530.8044033307119,-514.840793732066,-461.4639086163038,-439.80351491086975,-488.1191196411042,62
-522.711410673666,-509.59313719017183,-463.64368676770425,-450.110476586044,-486.7434529112825,50
-462.32798988676564,-436.59386614756613,-335.2925997517522,-308.3684519502593,-386.1963844635395,16
-526.2125887071132,-510.5012040257976,-462.245227591855,-447.400062115253,-486.7097297708283,46
-395.0092327104579,-373.10275001702615,-281.87566213944467,-254.63060601763195,-327.96175949665843,98
-522.5658908521676,-509.7054239441171,-463.32985052986106,-449.6770242803228,-486.55240897445753,47
-498.4144979410503,-475.6762334217522,-392.8206793727582,-369.52620567273806,-434.01079646629205,79
-533.1320154796797,-512.7198869327914,-443.77858726038653,-424.01566101381053,-479.0581654459374,39
-514.6510892211302,-498.73117806500335,-436.2330159808463,-414.75491831053637,-468.89207520181077,26
-523.5600283318755,-510.26178477684687,-464.1227875042324,-451.5127074616802,-487.4184670629565,55
-490.6802249736607,-472.20637009929294,-378.84849226347427,-353.94671401791425,-425.95882214651516,20
-475.31578532825483,-452.86629304919205,-350.29331787650165,-319.9006544882145,-402.601403187759,87
-530.8044033307118,-514.8407937320644,-461.46390861630607,-439.803514910867,-488.11911964110396,63
-388.39323620808045,-364.6362172008394,-271.6040385898009,-242.50894127960012,-319.9865599300633,99
-417.32152334508,-391.24952511856833,-305.3108756038029,-282.47159109595265,-347.9946906460183,90
-512.7100334054995,-498.8927565388579,-440.5718815541313,-422.4997520021928,-471.13852071516135,29
-513.2626380429708,-497.97941927545287,-432.70516978241704,-410.2012242046701,-466.7930357553459,25
-526.2125887071115,-510.50120402580114,-462.24522759185544,-447.40006211525395,-486.7097297708286,45
-531.349686760952,-512.6546194896283,-439.91564144647293,-413.6848159724017,-477.7598231159384,75
-518.1923758358174,-501.479246074257,-437.65034960396315,-416.5897365979328,-471.2811761025913,34
-525.4810004856369,-510.24449344508264,-460.276086832599,-445.4548055462357,-485.71360524710565,43
-401.7632965579331,-377.86162906897033,-287.05312621951765,-261.69895668787206,-332.7234078627023,97
-480.2875378685701,-456.5385297756493,-351.2086437492435,-319.2866782014863,-405.76795788029864,86
-469.13456192887327,-444.0638903050745,-342.4604356787534,-316.5462004209662,-393.22515783690477,17
-533.1800058365883,-511.90530411940796,-441.3961764062719,-420.9818147608837,-477.6443335772341,38
